o_orderkey,o_custkey,o_orderpriority,o_comment
27618,193,2-HIGH,ully regular packages sleep. furiously ironi
27619,890,4-NOT SPECIFIED,. slyly final reques
27620,950,3-MEDIUM, regular deposits sleep slyly alongside
27621,605,4-NOT SPECIFIED,al deposits. even requests cajole around the quickly regular depende
27622,631,3-MEDIUM,uts after the dependencies sleep above the furiously even requ
27623,1168,2-HIGH, pearls cajole carefully along the carefully expr
27648,575,4-NOT SPECIFIED,"lar pinto beans. express, silent platelets impress. slyly"
27649,209,5-LOW,"asymptotes? unusual, bold packages nag. slyly final package"
27650,259,1-URGENT,slyly regular requests. slyly bold theodolites afte
27651,1028,3-MEDIUM,ial deposits. caref
27652,100,3-MEDIUM,y. special packages cajole. bravely ironic requests are
27653,1129,3-MEDIUM,efully even instructions haggle carefully. quic
27654,947,2-HIGH,ffily regular deposits. final theodolites are blithely.
27655,764,2-HIGH,carefully about the quick
27680,109,1-URGENT,e quickly across the furiously bold pinto 
27681,1084,3-MEDIUM,the slyly ironic escap
27682,377,1-URGENT,ose deposits boost slyly deposits. ironic requests print
27683,67,2-HIGH,s haggle according to the furiously
27684,37,5-LOW,y ironic requests. sly
27685,1265,1-URGENT,e regularly blithely pending packages. carefully ironic pinto beans det
27686,1321,4-NOT SPECIFIED,leep carefully blithely regular ideas. blithel
27687,326,3-MEDIUM,sly even instructions after the carefully ironic platelets wa
27712,1297,5-LOW,atelets dazzle slyly about the blithely idle deposits. deposits abou
27713,1213,4-NOT SPECIFIED,etect according to the silently regular requests! slyly ir
27714,400,2-HIGH,kages haggle blithely. excuses across the accoun
27715,1228,2-HIGH,gular foxes are stealthily even requests: carefully bold id
27716,821,1-URGENT,arefully unusual ideas wake. pending packages haggle blithely ironic ideas
27717,1183,1-URGENT,pending accounts hagg
27718,154,3-MEDIUM, ironic requests serve requests. stealt
27719,380,4-NOT SPECIFIED, quickly final asympto
27744,745,1-URGENT," furiously regular instructions. ironic, even warh"
27745,41,5-LOW,ackages cajole slyly. fi
27746,805,1-URGENT,yly even packages. slyly unusual dolphins sleep furiously r
27747,938,5-LOW,the carefully ironic packages boost fluffily a
27748,22,3-MEDIUM,he blithely pending accounts. r
27749,1466,4-NOT SPECIFIED,wake blithely. carefully bold requests above the c
27750,985,5-LOW,riously. blithely express deposits after the slyly speci
27751,521,3-MEDIUM,"ans affix carefully against the even, final dep"
27776,271,5-LOW,hely silent packages after the slowly 
27777,1246,4-NOT SPECIFIED,accounts cajole foxes. slyly even pinto bea
27778,418,1-URGENT,s sleep. even accounts wake about the carefully final instructions. exp
27779,1247,2-HIGH,ns against the blithely furious packages lose slyly across t
27780,427,1-URGENT,ely fluffy requests cajole boldly quickly ironic packages.
27781,1180,2-HIGH,structions serve. slyly ironic instructions sleep 
27782,571,5-LOW,". carefully express dependencies use. final accounts are silent, ironic i"
27783,463,2-HIGH,aggle. blithely final requests are s
27808,100,5-LOW,olites. carefully ironic packages haggle furiously theodolites. evenly expres
27809,265,4-NOT SPECIFIED,"ts. slyly unusual deposits according to the ironic, even foxes are daringly pa"
27810,29,2-HIGH,gular accounts. furiously unu
27811,1471,4-NOT SPECIFIED,nding packages are slyly pinto be
27812,1246,1-URGENT,"ular, unusual accounts haggle. "
27813,1495,3-MEDIUM,he furiously pending asymptotes. carefully regular packages affix 
27814,865,1-URGENT, ironic excuses. carefully even ideas det
27815,35,4-NOT SPECIFIED,nts. finally regular requests detect carefully among the slyly regular
27840,841,2-HIGH, deposits wake blithel
27841,563,2-HIGH,s sleep blithely about the carefully final pinto beans;
27842,301,3-MEDIUM, haggle according to the blithely re
27843,110,3-MEDIUM, carefully pending accounts. slyly final pinto b
27844,1123,5-LOW,quickly final accounts haggle carefully requests. carefully 
27845,1385,4-NOT SPECIFIED,nding accounts. ironic so
27846,649,4-NOT SPECIFIED,ites. carefully quick deposits ar
27847,956,3-MEDIUM,"ing to the pending, final packages. ironic deposits sleep silently acr"
27872,595,4-NOT SPECIFIED,gedly bold sentiments. slyly special pl
27873,79,5-LOW,fluffily even requests 
27874,242,1-URGENT,ffily bold notornis sleep carefully. slyly r
27875,1211,5-LOW,longside of the blithely eve
27876,184,5-LOW,lithely across the flu
27877,838,3-MEDIUM, silent instructions wake among the unusual pinto beans. fluffily express 
27878,364,3-MEDIUM,s mold blithely slyly regular deposi
27879,1459,3-MEDIUM,e express packages cajole above the braids. 
27904,143,2-HIGH, serve about the furiously final foxes. deposits nod c
27905,1027,4-NOT SPECIFIED, depths along the quickly final instructions
27906,241,5-LOW, ironic foxes are furiously. express deposits to the blithely regular forg
27907,1435,3-MEDIUM,ymptotes-- furiously final pinto beans
27908,1355,2-HIGH, haggle final tithes. fluffily final pinto beans wake. 
27909,382,1-URGENT," daring, regular accounts with the permanentl"
27910,358,1-URGENT,ans. furiously regular pinto beans haggle bravely according to the deposit
27911,1120,2-HIGH,special foxes hinder. furiously ironic accounts 
27936,124,2-HIGH,refully daring dolphins nag. even requests alongside of the final theodoli
27937,1093,2-HIGH,c waters haggle about the platelets. slyl
27938,413,3-MEDIUM,"ndencies. special, ironic accounts sleep slyly requests. blithely s"
27939,1060,3-MEDIUM,riously final accou
27940,275,4-NOT SPECIFIED,al packages cajole slyly bold accounts-- furiously care
27941,1402,1-URGENT,ending accounts. carefully pending packages sleep slyly fluffily p
27942,401,2-HIGH,s. carefully regular accounts to the blithely ironic dependencies are f
27943,542,4-NOT SPECIFIED, deposits. ruthlessly final instructio
27968,632,4-NOT SPECIFIED,serve slowly around the fluffily even pinto beans. dolphins detect slyly 
27969,382,5-LOW,posits. blithely final foxes about the slyly regular accounts
27970,472,5-LOW,yly pending requests are quickly silent courts. regular foxes are blithely a
27971,614,5-LOW,otes cajole slyly around the furiously final packages. enticing deposits nag 
27972,1207,1-URGENT,"structions: express accounts against the special, final deposits sleep qu"
27973,323,3-MEDIUM,iet deposits haggle slowly on the fluffily i
27974,1372,2-HIGH,arefully slyly regular acco
27975,1132,3-MEDIUM,"ccording to the ironic, silent requests"
28000,1087,1-URGENT, hang furiously. unusual foxes wake fluffi
28001,374,1-URGENT,ngside of the slyly special requests nag
28002,409,1-URGENT,ages. regularly even accounts use. carefully regular foxe
28003,715,1-URGENT,eas affix carefully f
28004,470,4-NOT SPECIFIED,sides the regular requests detect according to the fl
28005,625,3-MEDIUM,ss deposits wake furiously bold packages. f
28006,544,1-URGENT, unusual deposits. slyly ironic pinto beans wake
28007,560,4-NOT SPECIFIED,sleep according to the
28032,526,3-MEDIUM,furiously ironic packages sleep daring
28033,43,2-HIGH,e blithely. requests maintain. carefully pending deposi
28034,1141,2-HIGH,requests breach alongside of the fluffi
28035,164,4-NOT SPECIFIED,. slyly final accou
28036,688,2-HIGH,"osits sleep. thin, ironic ideas are "
28037,1153,2-HIGH,nusual dinos. theodolites sleep carefully stealthily ironic de
28038,1352,5-LOW,counts are: slyly ironic courts cajole furiously 
28039,406,3-MEDIUM,hely special pinto beans doze. fluffily ironic instructions cajole 
28064,1372,3-MEDIUM,special platelets slee
28065,839,2-HIGH,bold ideas. slyly ironic packages nag fluffily ir
28066,772,3-MEDIUM,quickly silent deposits. 
28067,1318,2-HIGH, ironic packages use above the unusual 
28068,893,5-LOW,"le slyly. unusual, unusual deposits haggle."
28069,1051,5-LOW," dolphins wake alongside of the even, ironic accounts. even platelets "
28070,68,4-NOT SPECIFIED,e furiously about the carefully regular deposits. furiously pending requests 
28071,659,1-URGENT,"eodolites cajole quickly bold, final deposits. furiously even packages ought t"
28096,1066,1-URGENT,ironic accounts above the requests are slyly f
28097,31,3-MEDIUM,cial instructions. carefully ironi
28098,1391,5-LOW, carefully. blithely express ideas after the carefully regular acco
28099,740,5-LOW,equests. furiously thin cou
28100,1213,3-MEDIUM,ly regular requests cajole regular platelets. carefully regular packages c
28101,1222,4-NOT SPECIFIED,y above the furiously unusual re
28102,65,2-HIGH, ironic dependencies sleep quickly? fluffily final packages cajole above the
28103,637,3-MEDIUM,ccounts nag! furiously final dependencies could lose. quickly even s
28128,1249,2-HIGH,ets believe blithely sly
28129,991,3-MEDIUM,deposits sleep blithely express instructio
28130,670,5-LOW,en deposits. regular deposits against the finally re
28131,652,3-MEDIUM,tions. carefully even pinto beans are
28132,1213,4-NOT SPECIFIED,ts are slyly! carefully regular i
28133,788,4-NOT SPECIFIED,lly above the furiously even dependen
28134,604,3-MEDIUM,ular accounts. dependencies are slyly. bold 
28135,893,1-URGENT,wake slyly ironic excuses. fluffily express accounts
28160,1139,4-NOT SPECIFIED,ndencies. even requests haggle blithely ironic packages. accounts accordin
28161,632,4-NOT SPECIFIED,ackages. even hockey players cajole slyly even id
28162,517,4-NOT SPECIFIED,"mong the ironic, special theodolites. ir"
28163,869,5-LOW,"nic, ironic accounts! regular, "
28164,1483,2-HIGH,imes final accounts
28165,1300,4-NOT SPECIFIED,hely silent instructions. busy theodolites
28166,298,3-MEDIUM,l dolphins above the furiously enticing pint
28167,2,3-MEDIUM,uriously special instructions. idle instructions are against the
28192,350,3-MEDIUM,yly bold pinto beans among the slyly express decoys sleep quickly fin
28193,1211,5-LOW,pending packages; ideas affix
28194,730,5-LOW,slyly. ideas cajole carefully carefully spec
28195,1483,4-NOT SPECIFIED,s cajole about the furiously express notornis. 
28196,1436,4-NOT SPECIFIED, boost carefully fluffily regular reque
28197,1361,4-NOT SPECIFIED,ly. slyly ironic pinto bea
28198,172,3-MEDIUM,e the blithely thin package
28199,1271,3-MEDIUM,fully express deposits by
28224,58,1-URGENT,ely bold deposits. express theodolites 
28225,1430,1-URGENT,gular asymptotes cajole carefully carefully express asymptotes. id
28226,16,4-NOT SPECIFIED, according to the fluffily ironic ins
28227,709,3-MEDIUM,ngside of the ironic accounts cajole quickly against
28228,820,4-NOT SPECIFIED,nding warthogs. quickly ironic packages haggle blit
28229,986,1-URGENT,ts print furiously quickly even
28230,1153,2-HIGH,its serve furiously. special deposits across the requests sleep 
28231,1397,1-URGENT,side of the careful
28256,1216,2-HIGH,ages. furiously bold deposits about the fluffily bold packages
28257,778,1-URGENT,"ctions sleep slyly excuses. final, even accounts wake pending, "
28258,797,1-URGENT,kly ironic requests are bold courts. fluffily final foxes ca
28259,1399,2-HIGH,"ecial, final ideas. pe"
28260,1228,3-MEDIUM,ons use above the fluffily fina
28261,880,3-MEDIUM,ly regular dolphins. express courts
28262,821,3-MEDIUM,ffily ironic requests on the carefully ironic frets engage accordi
28263,226,3-MEDIUM,cial asymptotes inte
28288,8,5-LOW,accounts. slyly regular ideas nag slyly final asympto
28289,1438,2-HIGH,"nal, thin ideas nag. special pinto beans are "
28290,1193,5-LOW,"quickly regular pinto beans boost. regular, even instructions wa"
28291,1376,1-URGENT,"carefully silent deposits are furiously ironic, unus"
28292,839,2-HIGH,"thely even pinto beans are slyly. express, bold platelets nag fu"
28293,1403,2-HIGH,along the fluffily pending deposits haggle qui
28294,701,2-HIGH,t slyly blithely pending deposits. fluffily si
28295,1228,5-LOW,"foxes. final, silent ide"
28320,781,1-URGENT,y ironic pinto beans. bold ideas are furiously express 
28321,472,3-MEDIUM,y express platelets use slyly against the
28322,811,2-HIGH,ckages wake furiously along the ironic ideas. furiously fi
28323,1348,2-HIGH,to the carefully ironic foxes. regular deposits nag carefully. ironic theodoli
28324,407,2-HIGH,lly quiet deposits up the furiously even deposits can sleep 
28325,1396,1-URGENT,und the regular packages. regular packages serve slyly. ideas are 
28326,49,5-LOW,furiously final instructions are furiously platelets
28327,1333,2-HIGH,ully. pending accounts do
28352,550,2-HIGH,e carefully bold requests. quietly regular requests haggl
28353,239,1-URGENT,"ily requests. ironic, regular sheaves haggle acc"
28354,697,5-LOW,nt deposits across the final t
28355,793,2-HIGH,ss the regular depos
28356,841,1-URGENT,r warthogs sleep among the furious
28357,1498,4-NOT SPECIFIED,en instructions. blithely express de
28358,1174,2-HIGH,r blithely carefully unusual 
28359,551,1-URGENT,sual requests are slyly quickly special packag
28384,209,2-HIGH,uses sleep furiously. blithely final reque
28385,520,5-LOW,tions maintain fluffily pending requests-- deposits cajole
28386,88,2-HIGH,into beans. carefully ironic requests impr
28387,448,4-NOT SPECIFIED," instructions. express, regular depos"
28388,751,4-NOT SPECIFIED, regular deposits according to the blithely unusual asymptotes sleep slyly ab
28389,532,2-HIGH,ironic deposits according to th
28390,1045,2-HIGH,eep against the final requests. regular accounts w
28391,542,4-NOT SPECIFIED,"ts. express, regular p"
28416,101,3-MEDIUM,counts. accounts promise. quickly special accounts are furiously regula
28417,4,3-MEDIUM,ronic instructions integrate quic
28418,878,4-NOT SPECIFIED,efully ironic platelets. pending ideas across the furiously even
28419,1030,5-LOW, deposits nag after the careful
28420,967,5-LOW,efully slyly final theodolites. 
28421,1219,5-LOW,"ents. regular, ironic requests abou"
28422,1222,5-LOW,"express, regular requests! carefully even ideas nag slyly. final depend"
28423,611,3-MEDIUM, instructions use fluffily unusual theodolites. blithely iro
28448,694,2-HIGH,across the final requests. blithely final packages ca
28449,722,4-NOT SPECIFIED,se deposits. furiously bold foxes d
28450,1138,5-LOW,cajole. silent accounts integrate carefully. blithely ironic reque
28451,505,1-URGENT, special packages. carefully regular deposits sleep cl
28452,169,2-HIGH,ly even accounts. regular p
28453,730,1-URGENT,foxes sleep. busy ideas are slyly. bold accounts x-ray after
